CarbonSource,Isolate,AbsAbMedian,Community
Glycerol,Flavonifractor plautii,3.48062206862503e-05,11
Glycerol,Bacteroides uniformis,0.00206487605084448,11
Glycerol,Parabacteroides distasonis,0.000373204649221283,11
Fumarate,Enterococcus spp.,0.000818982992298417,11
Fumarate,Escherichia fergusonii,0.00332782660159347,11
Fumarate,Clostridium symbiosum,0.0150517588158709,11
Fumarate,Bacteroides thetaiotaomicron,0.0033086912888856,11
Fumarate,Clostridium clostridioforme,0.128580329790851,11
Fumarate,Blautia producta,0.0401530452243742,11
Fumarate,Clostridium scindens,0.00175754070005679,11
Fumarate,Clostridium hylemonae,0.00222763373905169,11
Fumarate,Clostridium hathewayi,0,11
Fumarate,Bacteroides fragilis,0.0169038089610393,11
Fumarate,Flavonifractor plautii,0,11
Fumarate,Bacteroides uniformis,0.00239143033751138,11
Fumarate,Parabacteroides distasonis,0.000360352516611303,11
Rhamnose,Enterococcus spp.,0.000569994877792448,11
Rhamnose,Escherichia fergusonii,0.00227758130373313,11
Rhamnose,Clostridium symbiosum,0.0188055590007996,11
Rhamnose,Bacteroides thetaiotaomicron,0.00509169399699158,11
Rhamnose,Clostridium clostridioforme,0.112385177508916,11
Rhamnose,Blautia producta,0.0343843470698906,11
Rhamnose,Clostridium scindens,0.00110956287158452,11
Rhamnose,Clostridium hylemonae,0.00275493780900153,11
Rhamnose,Clostridium hathewayi,0,11
Rhamnose,Bacteroides fragilis,0.0245560676214598,11
Rhamnose,Flavonifractor plautii,0,11
Rhamnose,Bacteroides uniformis,0.00141697738238196,11
Rhamnose,Parabacteroides distasonis,0.000347925762177803,11
Sucrose,Enterococcus spp.,0.000948365406950456,11
Sucrose,Escherichia fergusonii,0.00877238001429172,11
Sucrose,Clostridium symbiosum,0.014304511554836,11
Sucrose,Bacteroides thetaiotaomicron,0.00569019244170274,11
Sucrose,Clostridium clostridioforme,0.166332754985699,11
Sucrose,Blautia producta,0.0225236784150733,11
Sucrose,Clostridium scindens,0.00131717417632008,11
Sucrose,Clostridium hylemonae,0.00360183203508032,11
Sucrose,Clostridium hathewayi,0,11
Sucrose,Bacteroides fragilis,0.0122760633233031,11
Sucrose,Flavonifractor plautii,0,11
Sucrose,Bacteroides uniformis,0.0017650133962689,11
Sucrose,Parabacteroides distasonis,0.000272571072924997,11
Galactose,Enterococcus spp.,0.00131133031302652,11
Galactose,Escherichia fergusonii,0.00779080758362526,11
Galactose,Clostridium symbiosum,0.017372527569208,11
Galactose,Bacteroides thetaiotaomicron,0.00569381218030645,11
Galactose,Clostridium clostridioforme,0.0704784934162168,11
Galactose,Blautia producta,0.0367157418025537,11
Galactose,Clostridium scindens,0.00333747261053462,11
Galactose,Clostridium hylemonae,0.00327376031982836,11
Galactose,Clostridium hathewayi,0,11
Galactose,Bacteroides fragilis,0.0371152392043267,11
Galactose,Flavonifractor plautii,0,11
Galactose,Bacteroides uniformis,0.00323536441871707,11
Galactose,Parabacteroides distasonis,0.000857415471299359,11
Fructose,Enterococcus spp.,0.00420541147349537,11
Fructose,Escherichia fergusonii,0.00363793021447203,11
Fructose,Clostridium symbiosum,0.0207468692515759,11
Fructose,Bacteroides thetaiotaomicron,0.0058712864066104,11
Fructose,Clostridium clostridioforme,0.0817720261948083,11
Fructose,Blautia producta,0.0429183271583338,11
Fructose,Clostridium scindens,0.00144742185735233,11
Fructose,Clostridium hylemonae,0.00176218070271865,11
Fructose,Clostridium hathewayi,0,11
Fructose,Bacteroides fragilis,0.0399402993700173,11
Fructose,Flavonifractor plautii,0,11
Fructose,Bacteroides uniformis,0.00326702881700819,11
Fructose,Parabacteroides distasonis,0.00145650267376178,11
Melibiose,Enterococcus spp.,0.00415683175643333,11
Melibiose,Escherichia fergusonii,0.0106305013038686,11
Melibiose,Clostridium symbiosum,0.177466117978202,11
Melibiose,Bacteroides thetaiotaomicron,0.00383461319845029,11
Melibiose,Clostridium clostridioforme,0.0182413389372312,11
Melibiose,Blautia producta,0.0330227376184269,11
Melibiose,Clostridium scindens,0.00117434620442284,11
Melibiose,Clostridium hylemonae,0.00225856200417836,11
Melibiose,Clostridium hathewayi,0,11
Melibiose,Bacteroides fragilis,0.0214043974997561,11
Melibiose,Flavonifractor plautii,0,11
Melibiose,Bacteroides uniformis,0.0036942690367664,11
Melibiose,Parabacteroides distasonis,0.00013203949826854,11
Glucose,Enterococcus spp.,0.00657753905255566,11
Glucose,Escherichia fergusonii,0.0116207945879284,11
Glucose,Clostridium symbiosum,0.0133840916808896,11
Glucose,Bacteroides thetaiotaomicron,0.00169846908353224,11
Glucose,Clostridium clostridioforme,0.14557282320393,11
Glucose,Blautia producta,0.0183675351561499,11
Glucose,Clostridium scindens,0.000473651201830165,11
Glucose,Clostridium hylemonae,0.00149198797988809,11
Glucose,Clostridium hathewayi,0,11
Glucose,Bacteroides fragilis,0.143850135089464,11
Glucose,Flavonifractor plautii,0,11
Glucose,Bacteroides uniformis,0.000955193509053505,11
Glucose,Parabacteroides distasonis,0.000381383966618025,11
Fucose,Enterococcus spp.,0.00179354874769479,11
Fucose,Escherichia fergusonii,0.00328217723148637,11
Fucose,Clostridium symbiosum,0.0126941445860659,11
Fucose,Bacteroides thetaiotaomicron,0.002556158678316,11
Fucose,Clostridium clostridioforme,0.112072527480205,11
Fucose,Blautia producta,0.0541164747874914,11
Fucose,Clostridium scindens,0.000713439646501908,11
Fucose,Clostridium hylemonae,0.00219766551295953,11
Fucose,Clostridium hathewayi,0,11
Fucose,Bacteroides fragilis,0.0251547376523791,11
Fucose,Flavonifractor plautii,0,11
Fucose,Bacteroides uniformis,0.00186364919757147,11
Fucose,Parabacteroides distasonis,0.000434047942658491,11
Sorbitol,Enterococcus spp.,0.000296463897123075,11
Sorbitol,Escherichia fergusonii,0.00154533860922047,11
Sorbitol,Clostridium symbiosum,0.0137438981649213,11
Sorbitol,Bacteroides thetaiotaomicron,0.0040818663801029,11
Sorbitol,Clostridium clostridioforme,0.0588918979308113,11
Sorbitol,Blautia producta,0.0183954250542956,11
Sorbitol,Clostridium scindens,0.000835625733848554,11
Sorbitol,Clostridium hylemonae,0.000902061807744,11
Sorbitol,Clostridium hathewayi,0,11
Sorbitol,Bacteroides fragilis,0.010679347152827,11
Sorbitol,Flavonifractor plautii,0,11
Sorbitol,Bacteroides uniformis,0.0028384225660248,11
Sorbitol,Parabacteroides distasonis,0.000351347720787765,11
Mannitol,Enterococcus spp.,0.000834083472425396,11
Mannitol,Escherichia fergusonii,0.00206580817362555,11
Mannitol,Clostridium symbiosum,0.0095229300098187,11
Mannitol,Bacteroides thetaiotaomicron,0.00367009340005894,11
Mannitol,Clostridium clostridioforme,0.0974238238958861,11
Mannitol,Blautia producta,0.0176372096297035,11
Mannitol,Clostridium scindens,0.000565187816298941,11
Mannitol,Clostridium hylemonae,0.00101968909546738,11
Mannitol,Clostridium hathewayi,0,11
Mannitol,Bacteroides fragilis,0.01494779700516,11
Mannitol,Flavonifractor plautii,0,11
Mannitol,Bacteroides uniformis,0.000944127871036204,11
Mannitol,Parabacteroides distasonis,0.000259913788659437,11
Mannose,Enterococcus spp.,0.000504156417765246,11
Mannose,Escherichia fergusonii,0.00281511499007631,11
Mannose,Clostridium symbiosum,0.00914641706854353,11
Mannose,Bacteroides thetaiotaomicron,0.0381220673340143,11
Mannose,Clostridium clostridioforme,0.0983472332673975,11
Mannose,Blautia producta,0.0357155219477134,11
Mannose,Clostridium scindens,0.00113478387785261,11
Mannose,Clostridium hylemonae,0.00249499624231122,11
Mannose,Clostridium hathewayi,0,11
Mannose,Bacteroides fragilis,0.0132268183990154,11
Mannose,Flavonifractor plautii,2.79121396586632e-05,11
Mannose,Bacteroides uniformis,0.00158963698162396,11
Mannose,Parabacteroides distasonis,0.000242934139322626,11
Maltose,Enterococcus spp.,0.00117892489201827,11
Maltose,Escherichia fergusonii,0.00291822998760618,11
Maltose,Clostridium symbiosum,0.0179758552685262,11
Maltose,Bacteroides thetaiotaomicron,0.00149811709368788,11
Maltose,Clostridium clostridioforme,0.0198578134577421,11
Maltose,Blautia producta,0.0444084182885596,11
Maltose,Clostridium scindens,0.00116599901716531,11
Maltose,Clostridium hylemonae,0.0038036153278065,11
Maltose,Clostridium hathewayi,0,11
Maltose,Bacteroides fragilis,0.0224891249396646,11
Maltose,Flavonifractor plautii,0,11
Maltose,Bacteroides uniformis,0.00144936105290302,11
Maltose,Parabacteroides distasonis,0.000269120540279058,11
Ribose,Enterococcus spp.,0.000416350542627573,11
Ribose,Escherichia fergusonii,0.00219885130325187,11
Ribose,Clostridium symbiosum,0.0147153894909933,11
Ribose,Bacteroides thetaiotaomicron,0.00990993701624719,11
Ribose,Clostridium clostridioforme,0.0179941500141854,11
Ribose,Blautia producta,0.0282683455897799,11
Ribose,Clostridium scindens,0.000940943514673976,11
Ribose,Clostridium hylemonae,0.00163938026159607,11
Ribose,Clostridium hathewayi,0,11
Ribose,Bacteroides fragilis,0.0185272908995667,11
Ribose,Flavonifractor plautii,0.000104087635656893,11
Ribose,Bacteroides uniformis,0.00150927071702495,11
Ribose,Parabacteroides distasonis,0.00492800053481221,11
Lactose,Enterococcus spp.,0.00405507467895952,11
Lactose,Escherichia fergusonii,0.00214227054428991,11
Lactose,Clostridium symbiosum,0.0189388425276852,11
Lactose,Bacteroides thetaiotaomicron,0.00495497319609559,11
Lactose,Clostridium clostridioforme,0.0908230184086402,11
Lactose,Blautia producta,0.0526849781105721,11
Lactose,Clostridium scindens,0.00113529398993661,11
Lactose,Clostridium hylemonae,0.0028883681128405,11
Lactose,Clostridium hathewayi,0,11
Lactose,Bacteroides fragilis,0.0235843054259027,11
Lactose,Flavonifractor plautii,0,11
Lactose,Bacteroides uniformis,0.00309230208300099,11
Lactose,Parabacteroides distasonis,0.000258672319096374,11
Arabinose,Enterococcus spp.,0.00034542562422092,11
Arabinose,Escherichia fergusonii,0.00202137957877427,11
Arabinose,Clostridium symbiosum,0.0197443697857849,11
Arabinose,Bacteroides thetaiotaomicron,0.00327514665927983,11
Arabinose,Clostridium clostridioforme,0.015979133505627,11
Arabinose,Blautia producta,0.0253022603571806,11
Arabinose,Clostridium scindens,0.00116421228904088,11
Arabinose,Clostridium hylemonae,0.00190623770403397,11
Arabinose,Clostridium hathewayi,0,11
Arabinose,Bacteroides fragilis,0.0233366760765954,11
Arabinose,Flavonifractor plautii,3.98463450368732e-05,11
Arabinose,Bacteroides uniformis,0.00350832725044793,11
Arabinose,Parabacteroides distasonis,0.000703952095651426,11
