OD,CarbonSource,Donor,BaseMedia
0.5295,Ribose,1,BHI_10
0.554,Ribose,5,BHI_10
0.4195,Ribose,6,BHI_10
0.3725,Ribose,3,BHI_10
0.3415,Ribose,4,BHI_10
0.3985,Ribose,7,BHI_10
0.3435,Ribose,2,BHI_10
0.425,Ribose,8,BHI_10
0.2885,Sorbitol,1,BHI_10
0.4695,Sorbitol,5,BHI_10
0.438,Sorbitol,6,BHI_10
0.4135,Sorbitol,3,BHI_10
0.48,Sorbitol,4,BHI_10
0.4705,Sorbitol,7,BHI_10
0.484,Sorbitol,2,BHI_10
0.495,Sorbitol,8,BHI_10
0.3605,Fructose,1,BHI_10
0.472,Fructose,5,BHI_10
0.474,Fructose,6,BHI_10
0.457,Fructose,3,BHI_10
0.5045,Fructose,4,BHI_10
0.4715,Fructose,7,BHI_10
0.419,Fructose,2,BHI_10
0.5845,Fructose,8,BHI_10
0.403,Glucose,1,BHI_10
0.5105,Glucose,5,BHI_10
0.491,Glucose,6,BHI_10
0.4665,Glucose,3,BHI_10
0.503,Glucose,4,BHI_10
0.381,Glucose,7,BHI_10
0.394,Glucose,2,BHI_10
0.5805,Glucose,8,BHI_10
0.456,Galactose,1,BHI_10
0.5305,Galactose,5,BHI_10
0.459,Galactose,6,BHI_10
0.4575,Galactose,3,BHI_10
0.4945,Galactose,4,BHI_10
0.428,Galactose,7,BHI_10
0.4275,Galactose,2,BHI_10
0.531,Galactose,8,BHI_10
0.464,Arabinose,1,BHI_10
0.493,Arabinose,5,BHI_10
0.5285,Arabinose,6,BHI_10
0.4385,Arabinose,3,BHI_10
0.474,Arabinose,4,BHI_10
0.4635,Arabinose,7,BHI_10
0.459,Arabinose,2,BHI_10
0.5355,Arabinose,8,BHI_10
0.461,Maltose,1,BHI_10
0.4965,Maltose,5,BHI_10
0.521,Maltose,6,BHI_10
0.497,Maltose,3,BHI_10
0.504,Maltose,4,BHI_10
0.4605,Maltose,7,BHI_10
0.46,Maltose,2,BHI_10
0.5665,Maltose,8,BHI_10
0.5245,Lactose,1,BHI_10
0.489,Lactose,5,BHI_10
0.527,Lactose,6,BHI_10
0.479,Lactose,3,BHI_10
0.4885,Lactose,4,BHI_10
0.456,Lactose,7,BHI_10
0.471,Lactose,2,BHI_10
0.544,Lactose,8,BHI_10
0.5015,Mannitol,1,BHI_10
0.5205,Mannitol,5,BHI_10
0.4965,Mannitol,6,BHI_10
0.4475,Mannitol,3,BHI_10
0.4975,Mannitol,4,BHI_10
0.5095,Mannitol,7,BHI_10
0.521,Mannitol,2,BHI_10
0.5235,Mannitol,8,BHI_10
0.5035,Mannose,1,BHI_10
0.5535,Mannose,5,BHI_10
0.5705,Mannose,6,BHI_10
0.4925,Mannose,3,BHI_10
0.5305,Mannose,4,BHI_10
0.5275,Mannose,7,BHI_10
0.4565,Mannose,2,BHI_10
0.5635,Mannose,8,BHI_10
0.47,Sucrose,1,BHI_10
0.5285,Sucrose,5,BHI_10
0.455,Sucrose,6,BHI_10
0.5115,Sucrose,3,BHI_10
0.5975,Sucrose,4,BHI_10
0.6125,Sucrose,7,BHI_10
0.496,Sucrose,2,BHI_10
0.661,Sucrose,8,BHI_10
0.516,Melibiose,1,BHI_10
0.521,Melibiose,5,BHI_10
0.4965,Melibiose,6,BHI_10
0.603,Melibiose,3,BHI_10
0.47,Melibiose,4,BHI_10
0.683,Melibiose,7,BHI_10
0.561,Melibiose,2,BHI_10
0.5795,Melibiose,8,BHI_10
