CarbonSource,Isolate,NormalizedValue,Community
Fructose,Clostridium hathewayi,0,11
Fructose,Bacteroides fragilis,0,11
Fructose,Flavonifractor plautii,0,11
Fructose,Bacteroides uniformis,0,11
Fructose,Parabacteroides distasonis,0,11
Melibiose,Enterococcus spp.,0.0111629350802863,11
Melibiose,Escherichia fergusonii,0.00971892660124114,11
Melibiose,Clostridium symbiosum,0,11
Melibiose,Bacteroides thetaiotaomicron,0,11
Melibiose,Clostridium clostridioforme,0.740741102185673,11
Melibiose,Blautia producta,0.222115923612495,11
Melibiose,Clostridium scindens,0,11
Melibiose,Clostridium hylemonae,0.00224648695880373,11
Melibiose,Clostridium hathewayi,0,11
Melibiose,Bacteroides fragilis,0.0140146255615004,11
Melibiose,Flavonifractor plautii,0,11
Melibiose,Bacteroides uniformis,0,11
Melibiose,Parabacteroides distasonis,0,11
Glucose,Enterococcus spp.,0.0109791212859163,11
Glucose,Escherichia fergusonii,0.00414302478566216,11
Glucose,Clostridium symbiosum,0,11
Glucose,Bacteroides thetaiotaomicron,0.0229887436623525,11
Glucose,Clostridium clostridioforme,0.954072268711493,11
Glucose,Blautia producta,0,11
Glucose,Clostridium scindens,0,11
Glucose,Clostridium hylemonae,0.0046791620152053,11
Glucose,Clostridium hathewayi,0,11
Glucose,Bacteroides fragilis,0,11
Glucose,Flavonifractor plautii,0,11
Glucose,Bacteroides uniformis,0.00313767953937079,11
Glucose,Parabacteroides distasonis,0,11
Fucose,Enterococcus spp.,0.00209772756403913,11
Fucose,Escherichia fergusonii,0.0172574161189128,11
Fucose,Clostridium symbiosum,0,11
Fucose,Bacteroides thetaiotaomicron,0,11
Fucose,Clostridium clostridioforme,0.892325762663824,11
Fucose,Blautia producta,0,11
Fucose,Clostridium scindens,0,11
Fucose,Clostridium hylemonae,0.00141765212058446,11
Fucose,Clostridium hathewayi,0,11
Fucose,Bacteroides fragilis,0.0867664291338981,11
Fucose,Flavonifractor plautii,0.000135012398741327,11
Fucose,Bacteroides uniformis,0,11
Fucose,Parabacteroides distasonis,0,11
Mannose,Enterococcus spp.,0.0234344003480583,11
Mannose,Escherichia fergusonii,0.0360963478952255,11
Mannose,Clostridium symbiosum,0,11
Mannose,Bacteroides thetaiotaomicron,0,11
Mannose,Clostridium clostridioforme,0.487306664407673,11
Mannose,Blautia producta,0,11
Mannose,Clostridium scindens,0,11
Mannose,Clostridium hylemonae,0,11
Mannose,Clostridium hathewayi,0,11
Mannose,Bacteroides fragilis,0.453162587349043,11
Mannose,Flavonifractor plautii,0,11
Mannose,Bacteroides uniformis,0,11
Mannose,Parabacteroides distasonis,0,11
Maltose,Enterococcus spp.,0.0350514213253941,11
Maltose,Escherichia fergusonii,0.0146794313860831,11
Maltose,Clostridium symbiosum,0.00910340931962879,11
Maltose,Bacteroides thetaiotaomicron,0.0235747983688569,11
Maltose,Clostridium clostridioforme,0.5974463357938,11
Maltose,Blautia producta,0.159966436058197,11
Maltose,Clostridium scindens,0.00257174463583422,11
Maltose,Clostridium hylemonae,0,11
Maltose,Clostridium hathewayi,0,11
Maltose,Bacteroides fragilis,0.150772727753718,11
Maltose,Flavonifractor plautii,0,11
Maltose,Bacteroides uniformis,0,11
Maltose,Parabacteroides distasonis,0.00683369535848767,11
Ribose,Enterococcus spp.,0.0174661242493884,11
Ribose,Escherichia fergusonii,0,11
Ribose,Clostridium symbiosum,0,11
Ribose,Bacteroides thetaiotaomicron,0,11
Ribose,Clostridium clostridioforme,0.98037134605061,11
Ribose,Blautia producta,0,11
Ribose,Clostridium scindens,0.00159738553185174,11
Ribose,Clostridium hylemonae,0.00056514416815026,11
Ribose,Clostridium hathewayi,0,11
Ribose,Bacteroides fragilis,0,11
Ribose,Flavonifractor plautii,0,11
Ribose,Bacteroides uniformis,0,11
Ribose,Parabacteroides distasonis,0,11
Lactose,Enterococcus spp.,0.0104377388408671,11
Lactose,Escherichia fergusonii,0.062345471011519,11
Lactose,Clostridium symbiosum,0,11
Lactose,Bacteroides thetaiotaomicron,0.0261365322525799,11
Lactose,Clostridium clostridioforme,0.588929831621978,11
Lactose,Blautia producta,0.123336122054858,11
Lactose,Clostridium scindens,0.0234846397702249,11
Lactose,Clostridium hylemonae,0.0147776939982472,11
Lactose,Clostridium hathewayi,0,11
Lactose,Bacteroides fragilis,0.148893617762121,11
Lactose,Flavonifractor plautii,0,11
Lactose,Bacteroides uniformis,0,11
Lactose,Parabacteroides distasonis,0.00165835268760499,11
Arabinose,Enterococcus spp.,0.00372251312492735,11
Arabinose,Escherichia fergusonii,0.0416802613584994,11
Arabinose,Clostridium symbiosum,0,11
Arabinose,Bacteroides thetaiotaomicron,0.0149103440839007,11
Arabinose,Clostridium clostridioforme,0.928274009066329,11
Arabinose,Blautia producta,0,11
Arabinose,Clostridium scindens,0.000944377281646214,11
Arabinose,Clostridium hylemonae,0.010468495084697,11
Arabinose,Clostridium hathewayi,0,11
Arabinose,Bacteroides fragilis,0,11
Arabinose,Flavonifractor plautii,0,11
Arabinose,Bacteroides uniformis,0,11
Arabinose,Parabacteroides distasonis,0,11
